,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
,,,"------","-------------","---------","-------------","--",,,,,,
"#","Time","R","Tracer 1","Tracer 2","Tracer 3","Turbidity  ","Baseline","Battery V","T","Conductiv","temps","Débit  (m3/s)","Concentration Fluo (kg/m3)"
143,"22/04/24-22:06:58",0,9.07,1.34,2.14,16.17,13.94,13,6.68,0.106,24.9311666666668,0.180245938024441,0
144,"22/04/24-22:21:57",0,9.07,1.37,2.15,16.17,13.92,13,6.68,0.11,24.9415833333335,0.180245938024441,0
145,"22/04/24-22:36:57",0,9.08,1.37,2.13,16.21,13.93,13,6.68,0.109,24.9520000000002,0.180245938024441,0.000000000540499999999989
146,"22/04/24-22:51:57",0,9.05,1.39,2.15,16.09,13.91,13,6.68,0.106,24.9624166666668,0.177750406864117,-0.00000000108099999999998
147,"22/04/24-23:06:57",0,9.05,1.37,2.13,16.14,13.92,13,6.68,0.107,24.9728333333335,0.177750406864117,-0.00000000108099999999998
148,"22/04/24-23:21:57",0,9.03,1.38,2.13,16.19,13.93,13,6.68,0.106,24.9832500000002,0.177008709673228,-0.00000000216200000000005
149,"22/04/24-23:36:57",0,9.06,1.38,2.12,16.18,13.92,13,6.68,0.105,24.9936666666668,0.17723395443593,-0.000000000540499999999989
150,"22/04/24-23:51:57",0,9.02,1.38,2.13,16.31,13.93,13,6.68,0.106,25.0040833333335,0.178126458315952,-0.00000000270250000000004
151,"22/04/25-00:06:57",0,9.05,1.38,2.11,16.19,13.93,13,6.68,0.111,25.0145000000002,0.179562364824947,-0.00000000108099999999998
152,"22/04/25-00:21:57",0,9.05,1.38,2.1,16.14,13.9,13,6.68,0.107,25.0249166666668,0.180467467917191,-0.00000000108099999999998
153,"22/04/25-00:36:57",0,9,1.38,2.12,16.17,13.96,13,6.68,0.102,25.0353333333335,0.180467467917191,-0.00000000378350000000002
154,"22/04/25-00:51:57",0,9.02,1.38,2.11,16.22,13.91,13,6.68,0.099,25.0457500000002,0.182620133248615,-0.00000000270250000000004
155,"22/04/25-01:06:57",0,9.02,1.4,2.13,16.25,13.91,13,6.68,0.102,25.0561666666669,0.183855443311024,-0.00000000270250000000004
156,"22/04/25-01:21:56",0,9.05,1.38,2.13,16.16,13.92,13,6.68,0.103,25.0665833333335,0.18661459787399,-0.00000000108099999999998
157,"22/04/25-01:36:56",0,9.01,1.39,2.1,16.14,13.92,13,6.68,0.102,25.0770000000002,0.191391245094263,-0.00000000324300000000003
158,"22/04/25-01:51:56",0,9,1.38,2.12,16.13,13.94,13,6.68,0.106,25.0874166666669,0.194939835423792,-0.00000000378350000000002
159,"22/04/25-02:06:56",0,9.03,1.39,2.09,16.16,13.9,13,6.68,0.1,25.0978333333335,0.202738377569482,-0.00000000216200000000005
160,"22/04/25-02:21:56",0,8.99,1.39,2.11,16.17,13.92,13,6.68,0.1,25.1082500000002,0.209065180288044,-0.000000004324
161,"22/04/25-02:36:56",0,8.96,1.4,2.12,16.15,13.93,13,6.68,0.102,25.1186666666669,0.217943733895414,-0.00000000594549999999997
162,"22/04/25-02:51:56",0,8.98,1.36,2.13,16.11,13.95,13,6.68,0.106,25.1290833333335,0.224821995770214,-0.00000000486449999999999
